id,kota,jamCuaca,kodeCuaca,cuaca,humidity,tempC,tempF,iqa,wind_dir_deg,wind_spd_km_h,pressure_mbar,accessed
Banyuwangi_2023-11-21T06:00:00,Banyuwangi,2023-11-21 06:00:00,3,Berawan,60,32.0,90.0,41,152,2.8,1012,2023-11-21 06:00:00
Banyuwangi_2023-11-21T12:00:00,Banyuwangi,2023-11-21 12:00:00,1,Cerah Berawan,85,26.0,79.0,30,145,11.4,1010,2023-11-21 12:00:00
Banyuwangi_2023-11-21T18:00:00,Banyuwangi,2023-11-21 18:00:00,3,Berawan,90,26.0,79.0,38,145,8.7,1010,2023-11-21 18:00:00
Barru_2023-11-21T00:00:00,Barru,2023-11-21 00:00:00,60,Hujan Ringan,75,27.0,81.0,44,224,6.8,1010,2023-11-21
Barru_2023-11-21T06:00:00,Barru,2023-11-21 06:00:00,60,Hujan Ringan,65,33.0,91.0,42,224,7.5,1011,2023-11-21 06:00:00
Barru_2023-11-21T12:00:00,Barru,2023-11-21 12:00:00,3,Berawan,80,27.0,81.0,40,219,5.4,1008,2023-11-21 12:00:00
Barru_2023-11-21T18:00:00,Barru,2023-11-21 18:00:00,3,Berawan,85,24.0,75.0,54,98,3.4,1008,2023-11-21 18:00:00
Batam_2023-11-21T00:00:00,Batam,2023-11-21 00:00:00,3,Berawan,85,27.0,81.0,66,24,0.0,1009,2023-11-21
Batam_2023-11-21T06:00:00,Batam,2023-11-21 06:00:00,95,Hujan Petir,65,31.0,88.0,75,24,7.4,1009,2023-11-21 06:00:00
Batam_2023-11-21T12:00:00,Batam,2023-11-21 12:00:00,3,Berawan,85,27.0,81.0,69,24,7.4,1012,2023-11-21 12:00:00
Batam_2023-11-21T18:00:00,Batam,2023-11-21 18:00:00,95,Hujan Petir,95,24.0,75.0,57,24,13.7,1007,2023-11-21 18:00:00
Batang_2023-11-21T00:00:00,Batang,2023-11-21 00:00:00,1,Cerah Berawan,80,29.0,84.0,73,13,9.4,1009,2023-11-21
Batang_2023-11-21T06:00:00,Batang,2023-11-21 06:00:00,3,Berawan,55,35.0,95.0,71,13,10.9,1010,2023-11-21 06:00:00
Batang_2023-11-21T12:00:00,Batang,2023-11-21 12:00:00,60,Hujan Ringan,70,29.0,84.0,85,35,8.5,1009,2023-11-21 12:00:00
Batang_2023-11-21T18:00:00,Batang,2023-11-21 18:00:00,3,Berawan,80,26.0,79.0,89,39,21.5,1007,2023-11-21 18:00:00
Batu_2023-11-21T00:00:00,Batu,2023-11-21 00:00:00,1,Cerah Berawan,90,20.0,68.0,43,143,1.5,1012,2023-11-21
Batu_2023-11-21T06:00:00,Batu,2023-11-21 06:00:00,95,Hujan Petir,65,30.0,86.0,43,143,1.4,1013,2023-11-21 06:00:00
Batu_2023-11-21T12:00:00,Batu,2023-11-21 12:00:00,60,Hujan Ringan,95,20.0,68.0,52,145,2.6,1011,2023-11-21 12:00:00
Batu_2023-11-21T18:00:00,Batu,2023-11-21 18:00:00,45,Berkabut,95,18.0,64.0,55,141,3.3,1010,2023-11-21 18:00:00
Bekasi_2023-11-21T00:00:00,Bekasi,2023-11-21 00:00:00,1,Cerah Berawan,80,26.0,79.0,105,352,2.7,1001,2023-11-21
Bekasi_2023-11-21T06:00:00,Bekasi,2023-11-21 06:00:00,3,Berawan,50,33.0,91.0,112,352,0.0,1005,2023-11-21 06:00:00
Bekasi_2023-11-21T12:00:00,Bekasi,2023-11-21 12:00:00,61,Hujan Sedang,80,25.0,77.0,153,352,14.8,1009,2023-11-21 12:00:00
Bekasi_2023-11-21T18:00:00,Bekasi,2023-11-21 18:00:00,60,Hujan Ringan,90,23.0,73.0,131,352,14.8,1002,2023-11-21 18:00:00
Bengkalis_2023-11-21T00:00:00,Bengkalis,2023-11-21 00:00:00,45,Berkabut,100,25.0,77.0,34,38,8.0,1009,2023-11-21
Bengkalis_2023-11-21T06:00:00,Bengkalis,2023-11-21 06:00:00,60,Hujan Ringan,60,32.0,90.0,26,38,4.9,1009,2023-11-21 06:00:00
Bengkalis_2023-11-21T12:00:00,Bengkalis,2023-11-21 12:00:00,95,Hujan Petir,90,27.0,81.0,29,331,19.2,1010,2023-11-21 12:00:00
Bengkalis_2023-11-21T18:00:00,Bengkalis,2023-11-21 18:00:00,95,Hujan Petir,95,25.0,77.0,30,325,13.5,1007,2023-11-21 18:00:00
Bengkayang_2023-11-21T00:00:00,Bengkayang,2023-11-21 00:00:00,1,Cerah Berawan,100,25.0,77.0,41,173,1.4,1009,2023-11-21
Bengkayang_2023-11-21T06:00:00,Bengkayang,2023-11-21 06:00:00,95,Hujan Petir,65,33.0,91.0,35,173,1.9,1009,2023-11-21 06:00:00
Bengkayang_2023-11-21T12:00:00,Bengkayang,2023-11-21 12:00:00,60,Hujan Ringan,100,24.0,75.0,43,243,1.7,1009,2023-11-21 12:00:00
Bengkayang_2023-11-21T18:00:00,Bengkayang,2023-11-21 18:00:00,1,Cerah Berawan,100,23.0,73.0,43,251,3.9,1007,2023-11-21 18:00:00
Bengkulu_2023-11-21T00:00:00,Bengkulu,2023-11-21 00:00:00,3,Berawan,90,24.0,75.0,53,185,7.3,1010,2023-11-21
Bengkulu_2023-11-21T06:00:00,Bengkulu,2023-11-21 06:00:00,3,Berawan,65,32.0,90.0,65,185,7.3,1010,2023-11-21 06:00:00
Bengkulu_2023-11-21T12:00:00,Bengkulu,2023-11-21 12:00:00,60,Hujan Ringan,85,26.0,79.0,77,185,13.4,1010,2023-11-21 12:00:00
Bengkulu_2023-11-21T18:00:00,Bengkulu,2023-11-21 18:00:00,60,Hujan Ringan,95,24.0,75.0,57,185,7.4,1008,2023-11-21 18:00:00
Bima_2023-11-21T00:00:00,Bima,2023-11-21 00:00:00,3,Berawan,80,26.0,79.0,51,147,5.7,1011,2023-11-21
Bima_2023-11-21T06:00:00,Bima,2023-11-21 06:00:00,3,Berawan,55,36.0,97.0,49,147,5.7,1011,2023-11-21 06:00:00
Bima_2023-11-21T12:00:00,Bima,2023-11-21 12:00:00,3,Berawan,80,26.0,79.0,56,354,3.8,1009,2023-11-21 12:00:00
Bima_2023-11-21T18:00:00,Bima,2023-11-21 18:00:00,3,Berawan,90,24.0,75.0,55,174,5.3,1009,2023-11-21 18:00:00
Binjai_2023-11-21T00:00:00,Binjai,2023-11-21 00:00:00,60,Hujan Ringan,95,23.0,73.0,33,349,3.0,1010,2023-11-21
Binjai_2023-11-21T06:00:00,Binjai,2023-11-21 06:00:00,63,Hujan Lebat,75,29.0,84.0,24,349,2.2,1010,2023-11-21 06:00:00
Binjai_2023-11-21T12:00:00,Binjai,2023-11-21 12:00:00,61,Hujan Sedang,85,24.0,75.0,25,287,4.4,1013,2023-11-21 12:00:00
Binjai_2023-11-21T18:00:00,Binjai,2023-11-21 18:00:00,1,Cerah Berawan,95,23.0,73.0,25,312,3.2,1009,2023-11-21 18:00:00
Bitung_2023-11-21T00:00:00,Bitung,2023-11-21 00:00:00,1,Cerah Berawan,75,28.0,82.0,38,181,11.2,1010,2023-11-21
Bitung_2023-11-21T06:00:00,Bitung,2023-11-21 06:00:00,60,Hujan Ringan,60,32.0,90.0,35,181,13.2,1011,2023-11-21 06:00:00
Bitung_2023-11-21T12:00:00,Bitung,2023-11-21 12:00:00,1,Cerah Berawan,95,25.0,77.0,36,178,16.8,1009,2023-11-21 12:00:00
Bitung_2023-11-21T18:00:00,Bitung,2023-11-21 18:00:00,1,Cerah Berawan,95,25.0,77.0,39,178,14.9,1008,2023-11-21 18:00:00
Blitar_2023-11-21T00:00:00,Blitar,2023-11-21 00:00:00,0,,80,27.0,81.0,37,176,7.4,1011,2023-11-21
Blitar_2023-11-21T06:00:00,Blitar,2023-11-21 06:00:00,1,Cerah Berawan,55,32.0,90.0,41,176,5.7,1011,2023-11-21 06:00:00
Blitar_2023-11-21T12:00:00,Blitar,2023-11-21 12:00:00,1,Cerah Berawan,75,26.0,79.0,42,164,15.7,1010,2023-11-21 12:00:00
