id,kota,iqa,wind_dir(deg),wind_spd(km/h),pressure(mbar),last_update
Sukoharjo_2023-11-18T18:53:54,Sukoharjo,37*,Angin berputar 190 derajat,22.5 km/h,1010 mbar,2023-11-18 18:53:54
Surakarta_2023-11-18T18:53:54,Surakarta,55,Angin berputar 204 derajat,25.7 km/h,1010 mbar,2023-11-18 18:53:54
Tegal_2023-11-18T18:53:54,Tegal,67*,Angin berputar 204 derajat,9.6 km/h,1009 mbar,2023-11-18 18:53:54
Temanggung_2023-11-18T18:53:54,Temanggung,51*,Angin berputar 193 derajat,10.9 km/h,1012 mbar,2023-11-18 18:53:54
Semarang_2023-11-18T18:53:54,Semarang,84,Angin berputar 323 derajat,14.8 km/h,1007 mbar,2023-11-18 18:53:54
Wonogiri_2023-11-18T18:53:54,Wonogiri,36*,Angin berputar 188 derajat,19 km/h,1011 mbar,2023-11-18 18:53:54
Wonosobo_2023-11-18T18:53:54,Wonosobo,52*,Angin berputar 189 derajat,7.5 km/h,1012 mbar,2023-11-18 18:53:54
Semarang_2023-11-18T18:53:54,Semarang,84,Angin berputar 323 derajat,14.8 km/h,1007 mbar,2023-11-18 18:53:54
Bangkalan_2023-11-18T18:53:54,Bangkalan,90*,Angin berputar 119 derajat,5 km/h,1009 mbar,2023-11-18 18:53:54
Banyuwangi_2023-11-18T18:53:54,Banyuwangi,34*,Angin berputar 153 derajat,9.2 km/h,1011 mbar,2023-11-18 18:53:54
Batu_2023-11-18T18:53:54,Batu,54*,Angin berputar 173 derajat,7.6 km/h,1012 mbar,2023-11-18 18:53:54
Blitar_2023-11-18T18:53:54,Blitar,33*,Angin berputar 191 derajat,14.3 km/h,1011 mbar,2023-11-18 18:53:54
Bojonegoro_2023-11-18T18:53:54,Bojonegoro,52*,Angin berputar 165 derajat,14.5 km/h,1009 mbar,2023-11-18 18:53:54
Bondowoso_2023-11-18T18:53:54,Bondowoso,46*,Angin berputar 213 derajat,8.6 km/h,1011 mbar,2023-11-18 18:53:54
Gresik_2023-11-18T18:53:54,Gresik,88*,Angin berputar 32 derajat,5.1 km/h,1008 mbar,2023-11-18 18:53:54
Jember_2023-11-18T18:53:54,Jember,33*,Angin berputar 211 derajat,7.9 km/h,1011 mbar,2023-11-18 18:53:54
Jombang_2023-11-18T18:53:54,Jombang,66*,Angin berputar 190 derajat,25.7 km/h,1009 mbar,2023-11-18 18:53:54
Kediri_2023-11-18T18:53:54,Kediri,36*,Angin berputar 183 derajat,24.4 km/h,1010 mbar,2023-11-18 18:53:54
Kabupaten Malang_2023-11-18T18:53:54,Kabupaten Malang,53,Angin berputar 200 derajat,9 km/h,1012 mbar,2023-11-18 18:53:54
Lamongan_2023-11-18T18:53:54,Lamongan,83*,Angin berputar 17 derajat,3.2 km/h,1008 mbar,2023-11-18 18:53:54
Kabupaten Lumajang_2023-11-18T18:53:54,Kabupaten Lumajang,31*,Angin berputar 182 derajat,9.5 km/h,1011 mbar,2023-11-18 18:53:54
Madiun_2023-11-18T18:53:54,Madiun,37*,Angin berputar 189 derajat,21.6 km/h,1009 mbar,2023-11-18 18:53:54
