id,kota,jamCuaca,kodeCuaca,cuaca,humidity,tempC,tempF,iqa,wind_dir_deg,wind_spd_km_h,pressure_mbar,accessed
Binjai_2023-11-22T12:00:00,Binjai,2023-11-22 12:00:00,60,Hujan Ringan,85,24.0,75.0,28,353,4.6,1011,2023-11-22 12:00:00
Binjai_2023-11-22T18:00:00,Binjai,2023-11-22 18:00:00,1,Cerah Berawan,95,24.0,75.0,27,338,5.8,1008,2023-11-22 18:00:00
Bitung_2023-11-22T00:00:00,Bitung,2023-11-22 00:00:00,1,Cerah Berawan,60,28.0,82.0,29,178,14.0,1009,2023-11-22
Bitung_2023-11-22T06:00:00,Bitung,2023-11-22 06:00:00,3,Berawan,60,32.0,90.0,39,178,11.1,1010,2023-11-22 06:00:00
Bitung_2023-11-22T12:00:00,Bitung,2023-11-22 12:00:00,1,Cerah Berawan,95,24.0,75.0,37,162,13.5,1008,2023-11-22 12:00:00
Bitung_2023-11-22T18:00:00,Bitung,2023-11-22 18:00:00,3,Berawan,95,24.0,75.0,37,150,12.0,1007,2023-11-22 18:00:00
Blitar_2023-11-22T00:00:00,Blitar,2023-11-22 00:00:00,3,Berawan,80,27.0,81.0,52,162,4.3,1011,2023-11-22
Blitar_2023-11-22T06:00:00,Blitar,2023-11-22 06:00:00,1,Cerah Berawan,60,33.0,91.0,53,162,4.9,1010,2023-11-22 06:00:00
Blitar_2023-11-22T12:00:00,Blitar,2023-11-22 12:00:00,3,Berawan,85,26.0,79.0,52,176,19.4,1008,2023-11-22 12:00:00
Blitar_2023-11-22T18:00:00,Blitar,2023-11-22 18:00:00,3,Berawan,90,24.0,75.0,43,178,17.4,1008,2023-11-22 18:00:00
Blora_2023-11-22T00:00:00,Blora,2023-11-22 00:00:00,1,Cerah Berawan,75,27.0,81.0,82,21,5.8,1010,2023-11-22
Blora_2023-11-22T06:00:00,Blora,2023-11-22 06:00:00,3,Berawan,55,34.0,93.0,78,21,5.4,1009,2023-11-22 06:00:00
Blora_2023-11-22T12:00:00,Blora,2023-11-22 12:00:00,60,Hujan Ringan,80,27.0,81.0,72,23,6.1,1008,2023-11-22 12:00:00
Blora_2023-11-22T18:00:00,Blora,2023-11-22 18:00:00,3,Berawan,95,25.0,77.0,69,17,14.2,1006,2023-11-22 18:00:00
Bogor_2023-11-22T00:00:00,Bogor,2023-11-22 00:00:00,1,Cerah Berawan,75,26.0,79.0,67,177,3.9,1011,2023-11-22
Bogor_2023-11-22T06:00:00,Bogor,2023-11-22 06:00:00,95,Hujan Petir,65,32.0,90.0,58,177,4.9,1010,2023-11-22 06:00:00
Bogor_2023-11-22T12:00:00,Bogor,2023-11-22 12:00:00,61,Hujan Sedang,85,26.0,79.0,63,177,5.1,988,2023-11-22 12:00:00
Bogor_2023-11-22T18:00:00,Bogor,2023-11-22 18:00:00,3,Berawan,95,23.0,73.0,59,177,3.9,984,2023-11-22 18:00:00
Bojonegoro_2023-11-22T00:00:00,Bojonegoro,2023-11-22 00:00:00,1,Cerah Berawan,80,28.0,82.0,73,28,9.3,1010,2023-11-22
Bojonegoro_2023-11-22T06:00:00,Bojonegoro,2023-11-22 06:00:00,0,,40,35.0,95.0,72,28,7.7,1009,2023-11-22 06:00:00
Bojonegoro_2023-11-22T12:00:00,Bojonegoro,2023-11-22 12:00:00,1,Cerah Berawan,80,29.0,84.0,64,57,10.3,1007,2023-11-22 12:00:00
Bojonegoro_2023-11-22T18:00:00,Bojonegoro,2023-11-22 18:00:00,1,Cerah Berawan,90,26.0,79.0,69,61,12.2,1006,2023-11-22 18:00:00
Bondowoso_2023-11-22T00:00:00,Bondowoso,2023-11-22 00:00:00,0,,80,27.0,81.0,40,200,4.8,1012,2023-11-22
Bondowoso_2023-11-22T06:00:00,Bondowoso,2023-11-22 06:00:00,0,,65,33.0,91.0,47,200,4.1,1011,2023-11-22 06:00:00
Bondowoso_2023-11-22T12:00:00,Bondowoso,2023-11-22 12:00:00,0,,75,28.0,82.0,41,213,2.7,1009,2023-11-22 12:00:00
Bondowoso_2023-11-22T18:00:00,Bondowoso,2023-11-22 18:00:00,0,,85,24.0,75.0,40,214,1.3,1008,2023-11-22 18:00:00
Bontang_2023-11-22T00:00:00,Bontang,2023-11-22 00:00:00,1,Cerah Berawan,85,28.0,82.0,40,116,9.7,1008,2023-11-22
Bontang_2023-11-22T06:00:00,Bontang,2023-11-22 06:00:00,1,Cerah Berawan,75,29.0,84.0,38,116,4.3,1008,2023-11-22 06:00:00
Bontang_2023-11-22T12:00:00,Bontang,2023-11-22 12:00:00,95,Hujan Petir,85,26.0,79.0,30,97,10.9,1008,2023-11-22 12:00:00
Bontang_2023-11-22T18:00:00,Bontang,2023-11-22 18:00:00,3,Berawan,100,25.0,77.0,31,96,9.5,1006,2023-11-22 18:00:00
Boyolali_2023-11-22T00:00:00,Boyolali,2023-11-22 00:00:00,3,Berawan,75,27.0,81.0,58,205,8.1,1012,2023-11-22
Boyolali_2023-11-22T06:00:00,Boyolali,2023-11-22 06:00:00,3,Berawan,55,34.0,93.0,64,205,9.3,1010,2023-11-22 06:00:00
Boyolali_2023-11-22T12:00:00,Boyolali,2023-11-22 12:00:00,60,Hujan Ringan,80,27.0,81.0,63,196,13.0,1009,2023-11-22 12:00:00
Boyolali_2023-11-22T18:00:00,Boyolali,2023-11-22 18:00:00,3,Berawan,95,25.0,77.0,52,188,18.1,1008,2023-11-22 18:00:00
Brebes_2023-11-22T00:00:00,Brebes,2023-11-22 00:00:00,3,Berawan,70,28.0,82.0,41,191,12.3,1010,2023-11-22
Brebes_2023-11-22T06:00:00,Brebes,2023-11-22 06:00:00,3,Berawan,50,33.0,91.0,56,191,12.6,1008,2023-11-22 06:00:00
Brebes_2023-11-22T12:00:00,Brebes,2023-11-22 12:00:00,3,Berawan,80,27.0,81.0,60,190,3.5,1008,2023-11-22 12:00:00
Brebes_2023-11-22T18:00:00,Brebes,2023-11-22 18:00:00,3,Berawan,85,24.0,75.0,68,189,7.9,1006,2023-11-22 18:00:00
Bukittinggi_2023-11-22T00:00:00,Bukittinggi,2023-11-22 00:00:00,3,Berawan,95,18.0,64.0,53,256,2.8,1013,2023-11-22
Bukittinggi_2023-11-22T06:00:00,Bukittinggi,2023-11-22 06:00:00,0,Cerah,60,26.0,79.0,50,256,2.9,1011,2023-11-22 06:00:00
Bukittinggi_2023-11-22T12:00:00,Bukittinggi,2023-11-22 12:00:00,60,Hujan Ringan,100,20.0,68.0,53,252,5.5,1012,2023-11-22 12:00:00
Bukittinggi_2023-11-22T18:00:00,Bukittinggi,2023-11-22 18:00:00,45,Berkabut,100,18.0,64.0,43,256,6.3,1009,2023-11-22 18:00:00
Bulukumba_2023-11-22T00:00:00,Bulukumba,2023-11-22 00:00:00,1,Cerah Berawan,75,28.0,82.0,32,103,9.1,1009,2023-11-22
Bulukumba_2023-11-22T06:00:00,Bulukumba,2023-11-22 06:00:00,1,Cerah Berawan,60,34.0,93.0,53,103,12.7,1010,2023-11-22 06:00:00
Bulukumba_2023-11-22T12:00:00,Bulukumba,2023-11-22 12:00:00,3,Berawan,70,29.0,84.0,50,84,20.3,1008,2023-11-22 12:00:00
Bulukumba_2023-11-22T18:00:00,Bulukumba,2023-11-22 18:00:00,3,Berawan,80,25.0,77.0,51,89,16.0,1007,2023-11-22 18:00:00
Buol_2023-11-22T00:00:00,Buol,2023-11-22 00:00:00,0,,90,27.0,81.0,28,178,8.7,1009,2023-11-22
Buol_2023-11-22T06:00:00,Buol,2023-11-22 06:00:00,60,Hujan Ringan,75,33.0,91.0,27,178,8.3,1009,2023-11-22 06:00:00
Buol_2023-11-22T12:00:00,Buol,2023-11-22 12:00:00,1,Cerah Berawan,90,25.0,77.0,27,55,10.9,1008,2023-11-22 12:00:00
Buol_2023-11-22T18:00:00,Buol,2023-11-22 18:00:00,3,Berawan,95,23.0,73.0,36,64,4.5,1007,2023-11-22 18:00:00
Ciamis_2023-11-22T00:00:00,Ciamis,2023-11-22 00:00:00,1,Cerah Berawan,85,25.0,77.0,36,145,2.1,1012,2023-11-22
Ciamis_2023-11-22T06:00:00,Ciamis,2023-11-22 06:00:00,60,Hujan Ringan,65,33.0,91.0,56,145,1.9,1011,2023-11-22 06:00:00
Ciamis_2023-11-22T12:00:00,Ciamis,2023-11-22 12:00:00,60,Hujan Ringan,80,27.0,81.0,56,139,8.5,1010,2023-11-22 12:00:00
