kota,jamCuaca,kodeCuaca,humidity,tempC,tempF,iqa,wind_dir_deg,wind_spd_km_h,pressure_mbar
Dumai,2023-11-20 06:00:00,3,75,30.0,86.0,58,52,1.8,1010
Dumai,2023-11-20 12:00:00,1,85,27.0,81.0,72,52,6.0,1011
Dumai,2023-11-20 18:00:00,3,100,25.0,77.0,76,52,4.3,1008
Enrekang,2023-11-20 00:00:00,60,85,23.0,73.0,32,192,3.2,1011
Enrekang,2023-11-20 06:00:00,60,70,30.0,86.0,30,192,3.2,1012
Enrekang,2023-11-20 12:00:00,3,80,25.0,77.0,31,159,6.9,1010
Enrekang,2023-11-20 18:00:00,3,90,21.0,70.0,35,123,1.3,1010
Garut,2023-11-20 00:00:00,1,85,24.0,75.0,61,131,4.1,1015
Garut,2023-11-20 06:00:00,60,60,31.0,88.0,55,131,5.3,1014
Garut,2023-11-20 12:00:00,1,85,24.0,75.0,51,127,9.1,1013
Garut,2023-11-20 18:00:00,60,90,21.0,70.0,53,125,6.4,1012
Gianyar,2023-11-20 00:00:00,3,85,28.0,82.0,41,174,2.0,1012
Gianyar,2023-11-20 06:00:00,60,65,32.0,90.0,37,174,4.6,1012
Gianyar,2023-11-20 12:00:00,1,80,28.0,82.0,33,154,14.2,1011
Gianyar,2023-11-20 18:00:00,1,80,26.0,79.0,34,155,8.1,1011
Gresik,2023-11-20 00:00:00,0,80,28.0,82.0,78,58,7.2,1010
Gresik,2023-11-20 06:00:00,0,50,34.0,93.0,73,58,6.8,1011
Gresik,2023-11-20 12:00:00,0,75,30.0,86.0,81,48,5.6,1009
Gresik,2023-11-20 18:00:00,1,85,26.0,79.0,72,48,11.7,1008
Indramayu,2023-11-20 00:00:00,1,80,25.0,77.0,68,25,3.8,1011
Indramayu,2023-11-20 06:00:00,60,55,35.0,95.0,64,25,13.3,1010
Indramayu,2023-11-20 12:00:00,60,80,25.0,77.0,61,57,13.9,1010
Indramayu,2023-11-20 18:00:00,0,90,23.0,73.0,61,63,15.4,1008
Jambi,2023-11-20 00:00:00,3,100,25.0,77.0,80,66,4.5,1011
Jambi,2023-11-20 06:00:00,3,75,33.0,91.0,88,66,4.4,1010
Jambi,2023-11-20 12:00:00,60,90,28.0,82.0,45,66,6.1,1011
Jambi,2023-11-20 18:00:00,60,100,25.0,77.0,62,66,1.7,1007
Jayapura,2023-11-20 00:00:00,1,70,27.0,81.0,53,72,10.0,1010
Jayapura,2023-11-20 06:00:00,1,70,31.0,88.0,55,72,10.1,1013
Jayapura,2023-11-20 12:00:00,3,85,26.0,79.0,62,72,18.8,1010
Jayapura,2023-11-20 18:00:00,1,95,23.0,73.0,64,72,14.9,1011
Jember,2023-11-20 00:00:00,1,85,24.0,75.0,47,214,0.4,1012
Jember,2023-11-20 06:00:00,3,60,31.0,88.0,41,214,1.6,1013
Jember,2023-11-20 12:00:00,1,85,23.0,73.0,32,206,11.4,1011
Jember,2023-11-20 18:00:00,3,95,21.0,70.0,35,199,6.2,1011
Jeneponto,2023-11-20 00:00:00,1,80,27.0,81.0,56,135,12.1,1010
Jeneponto,2023-11-20 06:00:00,3,65,34.0,93.0,56,135,14.8,1011
Jeneponto,2023-11-20 12:00:00,3,75,29.0,84.0,54,118,25.5,1009
Jeneponto,2023-11-20 18:00:00,3,85,25.0,77.0,53,115,22.8,1009
Jepara,2023-11-20 00:00:00,1,75,28.0,82.0,73,148,12.5,1011
