kota,jamCuaca,kodeCuaca,humidity,tempC,tempF,iqa,wind_dir_deg,wind_spd_km_h,pressure_mbar
Nabire,2023-11-21 06:00:00,1,70,31.0,88.0,35,313,4.1,1012
Nabire,2023-11-21 12:00:00,60,80,26.0,79.0,28,337,8.0,1009
Nabire,2023-11-21 18:00:00,4,95,23.0,73.0,33,336,4.6,1009
Ngabang,2023-11-21 00:00:00,1,95,25.0,77.0,43,223,0.8,1009
Ngabang,2023-11-21 06:00:00,95,65,33.0,91.0,36,223,0.2,1009
Ngabang,2023-11-21 12:00:00,60,100,24.0,75.0,39,168,3.0,1008
Ngabang,2023-11-21 18:00:00,1,100,24.0,75.0,45,248,3.8,1006
Nganjuk,2023-11-21 00:00:00,0,70,28.0,82.0,49,168,13.5,1011
Nganjuk,2023-11-21 06:00:00,3,50,34.0,93.0,45,168,13.0,1011
Nganjuk,2023-11-21 12:00:00,3,70,28.0,82.0,46,155,7.8,1009
Nganjuk,2023-11-21 18:00:00,3,85,26.0,79.0,57,156,16.3,1008
Pacitan,2023-11-21 00:00:00,1,85,26.0,79.0,42,147,13.4,1011
Pacitan,2023-11-21 06:00:00,0,60,32.0,90.0,42,147,12.0,1011
Pacitan,2023-11-21 12:00:00,0,80,27.0,81.0,42,145,18.3,1010
Pacitan,2023-11-21 18:00:00,1,90,25.0,77.0,43,145,18.5,1009
Padang,2023-11-21 00:00:00,3,90,24.0,75.0,69,198,7.6,1011
Padang,2023-11-21 06:00:00,1,90,30.0,86.0,70,198,7.5,1011
Padang,2023-11-21 12:00:00,1,95,24.0,75.0,77,198,8.8,1012
Padang,2023-11-21 18:00:00,1,80,23.0,73.0,80,198,4.9,1009
Pagar Alam,2023-11-21 00:00:00,1,85,26.0,79.0,36,16,1.5,1012
Pagar Alam,2023-11-21 06:00:00,60,60,31.0,88.0,34,16,1.0,1012
Pagar Alam,2023-11-21 12:00:00,60,80,27.0,81.0,44,29,6.4,1011
Pagar Alam,2023-11-21 18:00:00,60,95,23.0,73.0,54,25,1.2,1010
Palembang,2023-11-21 00:00:00,1,80,28.0,82.0,102,41,3.7,1008
Palembang,2023-11-21 06:00:00,3,55,34.0,93.0,95,41,11.1,1009
Palembang,2023-11-21 12:00:00,60,75,30.0,86.0,105,41,7.4,1010
Palembang,2023-11-21 18:00:00,3,90,26.0,79.0,148,41,7.4,1006
Palopo,2023-11-21 00:00:00,1,75,28.0,82.0,31,110,4.5,1011
Palopo,2023-11-21 06:00:00,60,70,34.0,93.0,29,110,4.6,1012
Palopo,2023-11-21 12:00:00,3,85,28.0,82.0,32,117,7.7,1009
Palopo,2023-11-21 18:00:00,3,90,25.0,77.0,30,121,3.9,1009
Pamekasan,2023-11-21 00:00:00,1,75,29.0,84.0,57,94,4.5,1010
Pamekasan,2023-11-21 06:00:00,60,50,34.0,93.0,42,94,5.4,1010
Pamekasan,2023-11-21 12:00:00,1,75,28.0,82.0,42,90,18.0,1010
Pamekasan,2023-11-21 18:00:00,1,90,26.0,79.0,69,95,22.8,1007
Pandeglang,2023-11-21 00:00:00,1,85,26.0,79.0,90,219,3.0,1010
Pandeglang,2023-11-21 06:00:00,1,60,33.0,91.0,86,219,3.0,1010
Pandeglang,2023-11-21 12:00:00,3,85,27.0,81.0,103,217,3.6,1010
Pandeglang,2023-11-21 18:00:00,3,95,23.0,73.0,92,217,1.9,1007
Pariaman,2023-11-21 00:00:00,3,85,24.0,75.0,33,184,8.9,1010
Pariaman,2023-11-21 06:00:00,1,80,30.0,86.0,32,184,8.7,1010
Pariaman,2023-11-21 12:00:00,1,85,26.0,79.0,34,204,12.0,1011
Pariaman,2023-11-21 18:00:00,3,85,24.0,75.0,35,197,5.8,1010
Pasuruan,2023-11-21 00:00:00,0,70,28.0,82.0,41,98,6.0,1010
Pasuruan,2023-11-21 06:00:00,3,50,34.0,93.0,48,98,5.5,1011
Pasuruan,2023-11-21 12:00:00,3,75,28.0,82.0,55,80,15.6,1010
Pasuruan,2023-11-21 18:00:00,1,85,25.0,77.0,53,83,15.0,1008
Pati,2023-11-21 00:00:00,1,70,29.0,84.0,77,31,4.0,1010
Pati,2023-11-21 06:00:00,3,55,35.0,95.0,83,31,3.5,1010
Pati,2023-11-21 12:00:00,61,70,29.0,84.0,80,36,7.4,1009
Pati,2023-11-21 18:00:00,3,85,25.0,77.0,87,38,13.4,1007
Payakumbuh,2023-11-21 00:00:00,4,100,20.0,68.0,43,251,3.7,1011
Payakumbuh,2023-11-21 06:00:00,3,65,29.0,84.0,38,251,3.2,1011
Payakumbuh,2023-11-21 12:00:00,3,85,23.0,73.0,46,253,0.5,1011
Payakumbuh,2023-11-21 18:00:00,3,95,20.0,68.0,51,253,2.7,1009
Pekalongan,2023-11-21 00:00:00,1,75,28.0,82.0,53,356,5.4,1010
Pekalongan,2023-11-21 06:00:00,3,60,34.0,93.0,54,356,5.7,1010
Pekalongan,2023-11-21 12:00:00,60,70,29.0,84.0,60,359,9.1,1010
Pekalongan,2023-11-21 18:00:00,3,80,26.0,79.0,67,356,7.2,1008
Pekanbaru,2023-11-21 00:00:00,60,100,24.0,75.0,45,19,3.5,1009
Pekanbaru,2023-11-21 06:00:00,3,60,31.0,88.0,54,19,3.7,1009
Pekanbaru,2023-11-21 12:00:00,60,95,25.0,77.0,65,19,9.3,1010
Pekanbaru,2023-11-21 18:00:00,60,100,24.0,75.0,67,19,13.0,1005
Pemalang,2023-11-21 00:00:00,1,75,29.0,84.0,48,195,8.1,1010
Pemalang,2023-11-21 06:00:00,3,55,33.0,91.0,43,195,7.7,1010
Pemalang,2023-11-21 12:00:00,60,70,27.0,81.0,54,17,7.3,1010
Pemalang,2023-11-21 18:00:00,3,90,24.0,75.0,59,13,3.9,1007
Pinrang,2023-11-21 00:00:00,1,75,27.0,81.0,39,118,8.9,1010
Pinrang,2023-11-21 06:00:00,60,70,33.0,91.0,37,118,9.8,1011
Pinrang,2023-11-21 12:00:00,3,85,27.0,81.0,38,105,11.7,1008
Pinrang,2023-11-21 18:00:00,3,90,24.0,75.0,42,107,5.4,1007
Ponorogo,2023-11-21 00:00:00,0,70,28.0,82.0,41,147,8.6,1011
Ponorogo,2023-11-21 06:00:00,60,55,34.0,93.0,41,147,8.5,1011
Ponorogo,2023-11-21 12:00:00,1,70,28.0,82.0,37,164,4.1,1010
Ponorogo,2023-11-21 18:00:00,1,90,25.0,77.0,45,166,3.7,1008
Pontianak,2023-11-21 00:00:00,60,95,26.0,79.0,80,259,3.7,1008
Pontianak,2023-11-21 06:00:00,95,65,33.0,91.0,49,259,3.7,1008
Pontianak,2023-11-21 12:00:00,60,90,26.0,79.0,61,259,5.5,1009
Pontianak,2023-11-21 18:00:00,3,100,24.0,75.0,69,259,5.5,1005
Prabumulih,2023-11-21 00:00:00,1,80,27.0,81.0,73,116,3.5,1009
Prabumulih,2023-11-21 06:00:00,1,55,33.0,91.0,71,116,4.0,1009
Prabumulih,2023-11-21 12:00:00,61,75,29.0,84.0,74,78,4.9,1009
Prabumulih,2023-11-21 18:00:00,60,95,25.0,77.0,76,95,4.2,1006
Pringsewu,2023-11-21 00:00:00,0,85,24.0,75.0,63,210,8.0,1010
Pringsewu,2023-11-21 06:00:00,1,60,30.0,86.0,61,210,6.7,1010
Pringsewu,2023-11-21 12:00:00,60,90,24.0,75.0,67,190,8.5,1010
Pringsewu,2023-11-21 18:00:00,1,95,23.0,73.0,67,170,9.0,1007
Probolinggo,2023-11-21 00:00:00,0,75,27.0,81.0,31,170,15.6,1010
Probolinggo,2023-11-21 06:00:00,95,50,33.0,91.0,41,170,13.4,1010
Probolinggo,2023-11-21 12:00:00,60,80,26.0,79.0,51,30,18.4,1010
Probolinggo,2023-11-21 18:00:00,1,90,25.0,77.0,50,35,11.9,1008
Pulang Pisau,2023-11-21 00:00:00,3,85,26.0,79.0,0,224,4.5,1010
Pulang Pisau,2023-11-21 06:00:00,60,60,33.0,91.0,0,224,4.5,1010
Pulang Pisau,2023-11-21 12:00:00,60,90,25.0,77.0,0,224,4.5,1010
Pulang Pisau,2023-11-21 18:00:00,3,95,24.0,75.0,0,224,4.5,1010
Purbalingga,2023-11-21 00:00:00,3,80,26.0,79.0,40,164,2.5,1011
Purbalingga,2023-11-21 06:00:00,3,65,30.0,86.0,36,164,1.4,1012
Purbalingga,2023-11-21 12:00:00,60,75,27.0,81.0,37,156,7.6,1011
Purbalingga,2023-11-21 18:00:00,3,95,22.0,72.0,40,160,10.0,1009
Purwakarta,2023-11-21 00:00:00,1,80,26.0,79.0,152,350,4.4,1010
Purwakarta,2023-11-21 06:00:00,60,50,33.0,91.0,160,350,4.3,1010
Purwakarta,2023-11-21 12:00:00,3,80,25.0,77.0,149,350,4.2,1009
Purwakarta,2023-11-21 18:00:00,3,90,23.0,73.0,84,350,8.3,1007
Purworejo,2023-11-21 00:00:00,1,75,28.0,82.0,42,168,5.0,1011
Purworejo,2023-11-21 06:00:00,3,60,33.0,91.0,39,168,5.7,1011
Purworejo,2023-11-21 12:00:00,3,75,28.0,82.0,40,174,9.8,1011
Purworejo,2023-11-21 18:00:00,3,85,25.0,77.0,46,171,10.1,1009
Rembang,2023-11-21 00:00:00,1,70,29.0,84.0,76,21,9.4,1010
Rembang,2023-11-21 06:00:00,3,55,35.0,95.0,82,21,9.6,1010
Rembang,2023-11-21 12:00:00,60,70,29.0,84.0,83,28,8.0,1009
Rembang,2023-11-21 18:00:00,3,85,25.0,77.0,86,32,15.0,1007
Sabang,2023-11-21 00:00:00,60,90,25.0,77.0,41,91,10.4,1010
Sabang,2023-11-21 06:00:00,60,75,30.0,86.0,39,91,9.9,1010
Sabang,2023-11-21 12:00:00,1,90,27.0,81.0,40,95,18.3,1012
Sabang,2023-11-21 18:00:00,1,95,24.0,75.0,39,64,11.6,1008
Salatiga,2023-11-21 00:00:00,1,80,26.0,79.0,44,197,6.5,1012
Salatiga,2023-11-21 06:00:00,3,60,34.0,93.0,49,197,6.0,1012
Salatiga,2023-11-21 12:00:00,60,75,26.0,79.0,43,233,4.8,1010
Salatiga,2023-11-21 18:00:00,3,85,24.0,75.0,61,224,1.8,1009
Samarinda,2023-11-21 00:00:00,60,100,24.0,75.0,45,214,3.0,1009
Samarinda,2023-11-21 06:00:00,3,80,29.0,84.0,31,214,3.3,1010
Samarinda,2023-11-21 12:00:00,1,95,25.0,77.0,37,214,7.2,1009
Samarinda,2023-11-21 18:00:00,45,100,25.0,77.0,53,214,7.3,1006
Sambas,2023-11-21 00:00:00,1,100,26.0,79.0,35,274,2.1,1009
Sambas,2023-11-21 06:00:00,95,65,33.0,91.0,30,274,2.3,1009
Sambas,2023-11-21 12:00:00,60,95,25.0,77.0,40,274,5.9,1009
Sambas,2023-11-21 18:00:00,60,100,24.0,75.0,41,274,6.8,1007
Sampang,2023-11-21 00:00:00,1,75,29.0,84.0,61,179,10.4,1010
Sampang,2023-11-21 06:00:00,3,50,33.0,91.0,52,179,17.4,1010
Sampang,2023-11-21 12:00:00,1,70,29.0,84.0,48,105,13.5,1009
Sampang,2023-11-21 18:00:00,1,90,26.0,79.0,52,104,25.2,1007
Sanggau,2023-11-21 00:00:00,1,95,25.0,77.0,42,223,2.9,1009
Sanggau,2023-11-21 06:00:00,95,65,33.0,91.0,36,223,1.9,1009
Sanggau,2023-11-21 12:00:00,95,100,25.0,77.0,38,262,0.3,1008
Sanggau,2023-11-21 18:00:00,1,100,24.0,75.0,42,255,4.2,1006
Sarmi,2023-11-21 00:00:00,1,70,27.0,81.0,28,96,16.0,1010
Sarmi,2023-11-21 06:00:00,1,70,31.0,88.0,24,96,17.0,1012
Sarmi,2023-11-21 12:00:00,60,80,26.0,79.0,32,81,20.3,1009
Sarmi,2023-11-21 18:00:00,3,95,23.0,73.0,31,101,13.4,1010
Sarolangun,2023-11-21 00:00:00,3,95,24.0,75.0,54,321,0.6,1009
Sarolangun,2023-11-21 06:00:00,60,60,32.0,90.0,54,321,1.9,1009
Sarolangun,2023-11-21 12:00:00,3,90,27.0,81.0,52,70,4.0,1010
Sarolangun,2023-11-21 18:00:00,95,100,24.0,75.0,58,83,5.5,1006
Sekadau,2023-11-21 00:00:00,60,95,26.0,79.0,43,226,2.6,1009
Sekadau,2023-11-21 06:00:00,95,65,33.0,91.0,39,226,1.7,1009
Sekadau,2023-11-21 12:00:00,60,95,26.0,79.0,39,324,2.2,1008
Sekadau,2023-11-21 18:00:00,60,100,24.0,75.0,42,256,3.0,1006
Semarang,2023-11-21 00:00:00,1,70,29.0,84.0,54,334,7.4,1009
Semarang,2023-11-21 06:00:00,3,55,35.0,95.0,49,334,3.7,1008
Semarang,2023-11-21 12:00:00,60,70,29.0,84.0,66,349,14.8,1009
Semarang,2023-11-21 18:00:00,3,80,26.0,79.0,62,349,18.5,1006
Sibolga,2023-11-21 00:00:00,60,95,24.0,75.0,26,198,2.4,1011
Sibolga,2023-11-21 06:00:00,63,75,30.0,86.0,21,198,1.8,1011
Sibolga,2023-11-21 12:00:00,63,85,24.0,75.0,22,290,4.6,1012
Sibolga,2023-11-21 18:00:00,1,95,24.0,75.0,27,289,1.2,1010
Sidoarjo,2023-11-21 00:00:00,0,75,29.0,84.0,62,77,7.4,1009
Sidoarjo,2023-11-21 06:00:00,1,45,35.0,95.0,61,77,7.4,1009
Sidoarjo,2023-11-21 12:00:00,1,70,30.0,86.0,62,98,18.5,1009
Sidoarjo,2023-11-21 18:00:00,1,90,26.0,79.0,60,96,31.5,1006
Sigi Biromaru,2023-11-21 00:00:00,1,90,24.0,75.0,24,327,5.0,1011
Sigi Biromaru,2023-11-21 06:00:00,60,75,28.0,82.0,18,327,4.0,1012
Sigi Biromaru,2023-11-21 12:00:00,3,95,24.0,75.0,26,120,4.5,1010
Sigi Biromaru,2023-11-21 18:00:00,3,100,22.0,72.0,27,42,4.2,1009
Sijunjung,2023-11-21 00:00:00,4,100,23.0,73.0,46,242,2.2,1010
Sijunjung,2023-11-21 06:00:00,3,70,29.0,84.0,41,242,1.8,1011
Sijunjung,2023-11-21 12:00:00,60,100,23.0,73.0,46,73,2.3,1011
Sijunjung,2023-11-21 18:00:00,45,100,22.0,72.0,52,86,1.0,1008
Singkawang,2023-11-21 00:00:00,60,95,26.0,79.0,36,235,4.5,1009
Singkawang,2023-11-21 06:00:00,95,65,33.0,91.0,31,235,4.1,1009
Singkawang,2023-11-21 12:00:00,60,95,25.0,77.0,38,254,8.5,1009
Singkawang,2023-11-21 18:00:00,60,100,24.0,75.0,35,249,10.8,1007
Sinjai,2023-11-21 00:00:00,60,70,28.0,82.0,45,113,5.7,1010
Sinjai,2023-11-21 06:00:00,3,65,34.0,93.0,43,113,4.5,1011
Sinjai,2023-11-21 12:00:00,3,80,28.0,82.0,34,112,18.5,1010
Sinjai,2023-11-21 18:00:00,60,85,25.0,77.0,42,112,10.3,1008
Sintang,2023-11-21 00:00:00,60,90,26.0,79.0,52,296,2.9,1009
Sintang,2023-11-21 06:00:00,3,65,33.0,91.0,52,296,1.4,1009
Sintang,2023-11-21 12:00:00,60,95,26.0,79.0,54,348,3.0,1008
Sintang,2023-11-21 18:00:00,60,100,24.0,75.0,54,308,3.2,1006
Situbondo,2023-11-21 00:00:00,0,70,28.0,82.0,33,23,10.9,1010
Situbondo,2023-11-21 06:00:00,1,45,34.0,93.0,31,23,9.5,1010
Situbondo,2023-11-21 12:00:00,1,75,28.0,82.0,41,30,18.0,1009
Situbondo,2023-11-21 18:00:00,1,85,25.0,77.0,56,30,9.1,1008
Sleman,2023-11-21 00:00:00,1,85,26.0,79.0,56,180,1.8,1011
Sleman,2023-11-21 06:00:00,3,50,32.0,90.0,57,180,0.8,1012
Sleman,2023-11-21 12:00:00,3,80,26.0,79.0,58,190,9.4,1011
Sleman,2023-11-21 18:00:00,60,90,24.0,75.0,60,180,12.8,1009
Solok,2023-11-21 00:00:00,3,90,21.0,70.0,43,245,2.6,1011
Solok,2023-11-21 06:00:00,3,75,26.0,79.0,39,245,2.2,1011
Solok,2023-11-21 12:00:00,3,95,23.0,73.0,46,250,2.4,1012
Solok,2023-11-21 18:00:00,3,95,22.0,72.0,51,251,5.0,1010
Sorong,2023-11-21 00:00:00,3,80,29.0,84.0,26,144,5.0,1010
Sorong,2023-11-21 06:00:00,60,70,32.0,90.0,33,144,6.7,1011
Sorong,2023-11-21 12:00:00,1,85,28.0,82.0,43,160,3.8,1009
Sorong,2023-11-21 18:00:00,3,90,25.0,77.0,72,160,1.4,1009
Sragen,2023-11-21 00:00:00,1,75,28.0,82.0,53,224,9.4,1010
Sragen,2023-11-21 06:00:00,3,60,34.0,93.0,55,224,8.0,1010
Sragen,2023-11-21 12:00:00,3,75,28.0,82.0,40,219,1.7,1010
Sragen,2023-11-21 18:00:00,3,85,25.0,77.0,53,218,11.1,1007
Subang,2023-11-21 00:00:00,1,80,26.0,79.0,47,171,6.9,1011
Subang,2023-11-21 06:00:00,60,50,33.0,91.0,35,171,6.5,1012
Subang,2023-11-21 12:00:00,3,80,25.0,77.0,36,175,10.3,1011
Subang,2023-11-21 18:00:00,3,90,23.0,73.0,41,172,9.8,1008
Sukoharjo,2023-11-21 00:00:00,1,75,29.0,84.0,42,192,9.0,1010
Sukoharjo,2023-11-21 06:00:00,3,60,34.0,93.0,41,192,8.0,1011
Sukoharjo,2023-11-21 12:00:00,3,70,28.0,82.0,39,188,7.2,1009
Sukoharjo,2023-11-21 18:00:00,3,85,25.0,77.0,48,198,18.0,1008
Sumedang,2023-11-21 00:00:00,1,80,26.0,79.0,69,57,6.2,1011
Sumedang,2023-11-21 06:00:00,3,50,32.0,90.0,59,57,6.3,1012
Sumedang,2023-11-21 12:00:00,3,80,25.0,77.0,56,164,6.2,1010
Sumedang,2023-11-21 18:00:00,3,90,23.0,73.0,54,180,3.6,1008
Sumenep,2023-11-21 00:00:00,1,75,29.0,84.0,55,117,13.4,1010
Sumenep,2023-11-21 06:00:00,3,50,34.0,93.0,40,117,11.4,1010
Sumenep,2023-11-21 12:00:00,1,75,28.0,82.0,42,100,20.4,1010
Sumenep,2023-11-21 18:00:00,1,90,27.0,81.0,96,92,20.2,1008
Sungai Penuh,2023-11-21 00:00:00,3,95,18.0,64.0,45,217,2.2,1012
Sungai Penuh,2023-11-21 06:00:00,95,60,30.0,86.0,39,217,3.0,1012
Sungai Penuh,2023-11-21 12:00:00,3,90,18.0,64.0,47,187,2.2,1012
Sungai Penuh,2023-11-21 18:00:00,95,100,18.0,64.0,48,198,3.3,1010
Surabaya,2023-11-21 00:00:00,0,80,29.0,84.0,75,117,7.4,1009
Surabaya,2023-11-21 06:00:00,0,40,36.0,97.0,111,117,7.4,1009
Surabaya,2023-11-21 12:00:00,1,70,30.0,86.0,60,117,18.5,1009
Surabaya,2023-11-21 18:00:00,1,85,27.0,81.0,41,117,31.5,1006
Surakarta,2023-11-21 00:00:00,1,75,28.0,82.0,40,190,12.6,1010
Surakarta,2023-11-21 06:00:00,3,60,33.0,91.0,39,190,11.1,1011
Surakarta,2023-11-21 12:00:00,3,75,28.0,82.0,40,190,7.8,1010
Surakarta,2023-11-21 18:00:00,3,85,25.0,77.0,48,190,19.4,1008
Tabanan,2023-11-21 00:00:00,1,75,25.0,77.0,33,161,6.6,1011
Tabanan,2023-11-21 06:00:00,1,60,32.0,90.0,42,161,6.6,1011
Tabanan,2023-11-21 12:00:00,1,70,28.0,82.0,35,149,14.4,1010
Tabanan,2023-11-21 18:00:00,1,90,26.0,79.0,42,151,10.3,1009
Takalar,2023-11-21 00:00:00,60,75,28.0,82.0,61,152,13.2,1009
Takalar,2023-11-21 06:00:00,60,70,34.0,93.0,53,152,12.3,1010
Takalar,2023-11-21 12:00:00,3,85,28.0,82.0,42,142,18.8,1008
Takalar,2023-11-21 18:00:00,3,90,25.0,77.0,49,139,20.7,1006
Tangerang,2023-11-21 00:00:00,1,85,26.0,79.0,155,358,5.5,1008
Tangerang,2023-11-21 06:00:00,1,60,33.0,91.0,134,358,9.3,1009
Tangerang,2023-11-21 12:00:00,60,85,27.0,81.0,146,358,14.8,1008
Tangerang,2023-11-21 18:00:00,3,95,23.0,73.0,157,358,16.7,1006
Tarakan,2023-11-21 00:00:00,1,90,26.0,79.0,28,99,4.0,1009
Tarakan,2023-11-21 06:00:00,1,80,33.0,91.0,27,99,3.7,1010
Tarakan,2023-11-21 12:00:00,3,80,27.0,81.0,27,97,7.4,1009
Tarakan,2023-11-21 18:00:00,3,90,25.0,77.0,30,94,5.5,1006
Tasikmalaya,2023-11-21 00:00:00,60,80,25.0,77.0,46,145,4.0,1012
Tasikmalaya,2023-11-21 06:00:00,3,55,32.0,90.0,36,145,1.8,1012
Tasikmalaya,2023-11-21 12:00:00,3,80,25.0,77.0,30,137,8.5,1012
Tasikmalaya,2023-11-21 18:00:00,3,90,22.0,72.0,36,139,9.6,1009
Tegal,2023-11-21 00:00:00,1,75,28.0,82.0,48,192,9.9,1010
Tegal,2023-11-21 06:00:00,3,55,33.0,91.0,43,192,9.7,1010
Tegal,2023-11-21 12:00:00,60,75,27.0,81.0,54,182,5.5,1010
Tegal,2023-11-21 18:00:00,3,90,23.0,73.0,56,184,4.0,1007
Temanggung,2023-11-21 00:00:00,1,80,26.0,79.0,42,180,7.7,1012
Temanggung,2023-11-21 06:00:00,60,65,31.0,88.0,45,180,7.5,1012
Temanggung,2023-11-21 12:00:00,60,80,26.0,79.0,45,179,5.2,1011
Temanggung,2023-11-21 18:00:00,3,90,24.0,75.0,60,177,6.9,1010
Ternate,2023-11-21 00:00:00,1,75,28.0,82.0,40,219,7.1,1010
Ternate,2023-11-21 06:00:00,3,65,32.0,90.0,39,219,6.4,1011
Ternate,2023-11-21 12:00:00,3,85,27.0,81.0,42,221,7.9,1008
Ternate,2023-11-21 18:00:00,1,100,25.0,77.0,40,216,3.7,1008
Tomohon,2023-11-21 00:00:00,1,75,28.0,82.0,38,145,5.0,1011
Tomohon,2023-11-21 06:00:00,60,70,29.0,84.0,35,145,5.6,1012
Tomohon,2023-11-21 12:00:00,1,95,25.0,77.0,36,140,1.4,1009
Tomohon,2023-11-21 18:00:00,0,95,19.0,66.0,39,144,3.6,1009
Trenggalek,2023-11-21 00:00:00,1,90,24.0,75.0,42,154,4.9,1012
Trenggalek,2023-11-21 06:00:00,1,55,32.0,90.0,42,154,3.1,1012
Trenggalek,2023-11-21 12:00:00,3,85,24.0,75.0,42,148,12.5,1011
Trenggalek,2023-11-21 18:00:00,3,90,23.0,73.0,39,149,10.9,1009
Tuban,2023-11-21 00:00:00,1,75,28.0,82.0,71,10,11.2,1010
Tuban,2023-11-21 06:00:00,0,50,34.0,93.0,71,10,10.0,1010
Tuban,2023-11-21 12:00:00,3,85,28.0,82.0,78,39,14.8,1009
Tuban,2023-11-21 18:00:00,1,85,26.0,79.0,71,31,18.5,1007
Tulungagung,2023-11-21 00:00:00,1,75,27.0,81.0,40,171,6.6,1011
Tulungagung,2023-11-21 06:00:00,0,50,33.0,91.0,42,171,4.5,1011
Tulungagung,2023-11-21 12:00:00,3,75,27.0,81.0,43,175,15.9,1010
Tulungagung,2023-11-21 18:00:00,3,85,24.0,75.0,37,175,15.8,1009
Wonogiri,2023-11-21 00:00:00,1,70,29.0,84.0,42,179,8.2,1011
Wonogiri,2023-11-21 06:00:00,3,60,34.0,93.0,41,179,8.1,1011
Wonogiri,2023-11-21 12:00:00,3,70,28.0,82.0,39,181,6.2,1010
Wonogiri,2023-11-21 18:00:00,3,85,25.0,77.0,47,187,16.6,1008
Wonosobo,2023-11-21 00:00:00,1,80,26.0,79.0,41,170,4.2,1013
Wonosobo,2023-11-21 06:00:00,3,65,30.0,86.0,36,170,4.2,1013
Wonosobo,2023-11-21 12:00:00,60,80,26.0,79.0,38,176,4.2,1012
Wonosobo,2023-11-21 18:00:00,3,95,23.0,73.0,53,176,5.3,1010
Yogyakarta,2023-11-21 00:00:00,1,85,26.0,79.0,42,173,1.9,1011
Yogyakarta,2023-11-21 06:00:00,1,50,32.0,90.0,39,173,2.3,1011
Yogyakarta,2023-11-21 12:00:00,3,80,26.0,79.0,40,182,11.1,1010
Yogyakarta,2023-11-21 18:00:00,4,90,24.0,75.0,44,173,14.2,1009
Ambon,2023-11-22 00:00:00,3,80,27.0,81.0,40,145,13.2,1009
Ambon,2023-11-22 06:00:00,95,60,33.0,91.0,40,145,10.7,1010
Ambon,2023-11-22 12:00:00,60,80,27.0,81.0,39,145,10.9,1009
Ambon,2023-11-22 18:00:00,3,90,23.0,73.0,40,145,7.4,1007
Badung,2023-11-22 00:00:00,1,75,27.0,81.0,77,174,5.8,1011
Badung,2023-11-22 06:00:00,3,60,33.0,91.0,82,174,5.1,1010
Badung,2023-11-22 12:00:00,1,75,29.0,84.0,65,174,15.4,1009
Badung,2023-11-22 18:00:00,1,90,26.0,79.0,78,174,10.8,1009
Balikpapan,2023-11-22 00:00:00,1,90,28.0,82.0,29,196,11.2,1008
Balikpapan,2023-11-22 06:00:00,1,80,29.0,84.0,29,196,5.9,1008
Balikpapan,2023-11-22 12:00:00,60,90,26.0,79.0,27,167,8.1,1008
Balikpapan,2023-11-22 18:00:00,3,100,24.0,75.0,28,166,13.0,1005
Banda Aceh,2023-11-22 00:00:00,1,95,24.0,75.0,42,106,10.5,1012
Banda Aceh,2023-11-22 06:00:00,95,65,30.0,86.0,38,106,11.1,1008
Banda Aceh,2023-11-22 12:00:00,60,85,25.0,77.0,36,106,5.8,1011
Banda Aceh,2023-11-22 18:00:00,60,95,24.0,75.0,35,106,6.6,1008
Bandung,2023-11-22 00:00:00,1,80,22.0,72.0,152,22,1.6,1012
Bandung,2023-11-22 06:00:00,61,70,31.0,88.0,113,22,1.6,1012
Bandung,2023-11-22 12:00:00,1,90,23.0,73.0,78,22,3.2,1012
Bandung,2023-11-22 18:00:00,3,95,19.0,66.0,131,22,3.2,1012
Banggai,2023-11-22 00:00:00,1,80,26.0,79.0,20,183,4.0,1009
Banggai,2023-11-22 06:00:00,3,85,33.0,91.0,30,183,5.8,1010
Banggai,2023-11-22 12:00:00,1,90,23.0,73.0,33,187,11.6,1009
Banggai,2023-11-22 18:00:00,1,90,23.0,73.0,27,188,7.9,1008
Bangkalan,2023-11-22 00:00:00,0,85,28.0,82.0,66,37,9.8,1010
Bangkalan,2023-11-22 06:00:00,1,60,33.0,91.0,67,37,6.2,1008
Bangkalan,2023-11-22 12:00:00,0,75,29.0,84.0,80,25,4.7,1008
Bangkalan,2023-11-22 18:00:00,1,90,27.0,81.0,65,28,14.0,1006
Bangli,2023-11-22 00:00:00,1,80,26.0,79.0,42,143,1.6,1012
Bangli,2023-11-22 06:00:00,1,65,32.0,90.0,43,143,1.9,1011
Bangli,2023-11-22 12:00:00,1,80,28.0,82.0,39,148,11.9,1009
Bangli,2023-11-22 18:00:00,1,95,27.0,81.0,38,149,6.0,1009
Banjar,2023-11-22 00:00:00,1,85,25.0,77.0,39,131,0.7,1013
Banjar,2023-11-22 06:00:00,60,65,33.0,91.0,58,131,3.7,1012
Banjar,2023-11-22 12:00:00,3,80,28.0,82.0,61,206,4.3,1011
Banjar,2023-11-22 18:00:00,1,95,24.0,75.0,61,197,3.2,1010
Banjarmasin,2023-11-22 00:00:00,1,80,29.0,84.0,53,160,4.6,1008
Banjarmasin,2023-11-22 06:00:00,60,60,34.0,93.0,53,160,4.1,1008
Banjarmasin,2023-11-22 12:00:00,3,80,28.0,82.0,37,219,2.7,1007
Banjarmasin,2023-11-22 18:00:00,3,95,24.0,75.0,44,201,3.4,1005
Banjarnegara,2023-11-22 00:00:00,3,80,26.0,79.0,55,176,2.5,1013
Banjarnegara,2023-11-22 06:00:00,4,60,31.0,88.0,64,176,3.6,1011
Banjarnegara,2023-11-22 12:00:00,4,85,26.0,79.0,59,184,7.7,1010
