id,kota,jamCuaca,kodeCuaca,cuaca,humidity,tempC,tempF,iqa,wind_dir_deg,wind_spd_km_h,pressure_mbar,accessed
Kepahiang_2023-11-24T00:00:00,Kepahiang,2023-11-24 00:00:00,60,Hujan Ringan,100,21.0,70.0,47,227,2.1,1011,2023-11-24
Kepahiang_2023-11-24T06:00:00,Kepahiang,2023-11-24 06:00:00,60,Hujan Ringan,70,30.0,86.0,49,227,1.7,1010,2023-11-24 06:00:00
Kepahiang_2023-11-24T12:00:00,Kepahiang,2023-11-24 12:00:00,60,Hujan Ringan,100,20.0,68.0,44,237,5.4,1010,2023-11-24 12:00:00
Kepahiang_2023-11-24T18:00:00,Kepahiang,2023-11-24 18:00:00,60,Hujan Ringan,100,19.0,66.0,44,232,4.9,1009,2023-11-24 18:00:00
Ketapang_2023-11-24T00:00:00,Ketapang,2023-11-24 00:00:00,4,Berawan Tebal,90,25.0,77.0,25,158,9.4,1008,2023-11-24
Ketapang_2023-11-24T06:00:00,Ketapang,2023-11-24 06:00:00,60,Hujan Ringan,60,32.0,90.0,32,158,14.1,1007,2023-11-24 06:00:00
Ketapang_2023-11-24T12:00:00,Ketapang,2023-11-24 12:00:00,60,Hujan Ringan,95,25.0,77.0,25,332,9.0,1008,2023-11-24 12:00:00
Ketapang_2023-11-24T18:00:00,Ketapang,2023-11-24 18:00:00,4,Berawan Tebal,100,24.0,75.0,29,300,14.2,1007,2023-11-24 18:00:00
Klungkung_2023-11-24T00:00:00,Klungkung,2023-11-24 00:00:00,1,Cerah Berawan,85,28.0,82.0,37,156,1.2,1009,2023-11-24
Klungkung_2023-11-24T06:00:00,Klungkung,2023-11-24 06:00:00,1,Cerah Berawan,70,33.0,91.0,51,156,3.1,1009,2023-11-24 06:00:00
Klungkung_2023-11-24T12:00:00,Klungkung,2023-11-24 12:00:00,1,Cerah Berawan,75,28.0,82.0,43,161,12.1,1008,2023-11-24 12:00:00
Klungkung_2023-11-24T18:00:00,Klungkung,2023-11-24 18:00:00,1,Cerah Berawan,90,26.0,79.0,45,167,6.8,1008,2023-11-24 18:00:00
Kolaka_2023-11-24T00:00:00,Kolaka,2023-11-24 00:00:00,3,Berawan,85,28.0,82.0,34,48,6.3,1007,2023-11-24
Kolaka_2023-11-24T06:00:00,Kolaka,2023-11-24 06:00:00,61,Hujan Sedang,65,33.0,91.0,40,48,3.8,1009,2023-11-24 06:00:00
Kolaka_2023-11-24T12:00:00,Kolaka,2023-11-24 12:00:00,3,Berawan,80,27.0,81.0,36,243,5.6,1007,2023-11-24 12:00:00
Kolaka_2023-11-24T18:00:00,Kolaka,2023-11-24 18:00:00,3,Berawan,95,25.0,77.0,40,263,2.8,1008,2023-11-24 18:00:00
Kudus_2023-11-24T00:00:00,Kudus,2023-11-24 00:00:00,3,Berawan,75,27.0,81.0,84,145,1.7,1008,2023-11-24
Kudus_2023-11-24T06:00:00,Kudus,2023-11-24 06:00:00,4,Berawan Tebal,60,35.0,95.0,85,145,6.4,1008,2023-11-24 06:00:00
Kudus_2023-11-24T12:00:00,Kudus,2023-11-24 12:00:00,61,Hujan Sedang,70,28.0,82.0,84,350,9.3,1007,2023-11-24 12:00:00
Kudus_2023-11-24T18:00:00,Kudus,2023-11-24 18:00:00,4,Berawan Tebal,80,26.0,79.0,75,129,2.6,1007,2023-11-24 18:00:00
Kuningan_2023-11-24T00:00:00,Kuningan,2023-11-24 00:00:00,3,Berawan,90,24.0,75.0,70,201,7.4,1010,2023-11-24
Kuningan_2023-11-24T06:00:00,Kuningan,2023-11-24 06:00:00,95,Hujan Petir,70,32.0,90.0,60,201,9.1,1009,2023-11-24 06:00:00
Kuningan_2023-11-24T12:00:00,Kuningan,2023-11-24 12:00:00,3,Berawan,95,23.0,73.0,56,200,10.1,1009,2023-11-24 12:00:00
Kuningan_2023-11-24T18:00:00,Kuningan,2023-11-24 18:00:00,3,Berawan,95,23.0,73.0,64,173,7.2,1007,2023-11-24 18:00:00
Lahat_2023-11-24T00:00:00,Lahat,2023-11-24 00:00:00,60,Hujan Ringan,85,27.0,81.0,72,86,1.4,1010,2023-11-24
Lahat_2023-11-24T06:00:00,Lahat,2023-11-24 06:00:00,3,Berawan,70,29.0,84.0,72,86,2.6,1009,2023-11-24 06:00:00
Lahat_2023-11-24T12:00:00,Lahat,2023-11-24 12:00:00,3,Berawan,80,28.0,82.0,73,356,6.7,1009,2023-11-24 12:00:00
Lahat_2023-11-24T18:00:00,Lahat,2023-11-24 18:00:00,3,Berawan,95,24.0,75.0,70,250,2.0,1007,2023-11-24 18:00:00
Lamongan_2023-11-24T00:00:00,Lamongan,2023-11-24 00:00:00,1,Cerah Berawan,75,29.0,84.0,68,27,4.1,1008,2023-11-24
Lamongan_2023-11-24T06:00:00,Lamongan,2023-11-24 06:00:00,0,,55,35.0,95.0,82,27,6.3,1008,2023-11-24 06:00:00
Lamongan_2023-11-24T12:00:00,Lamongan,2023-11-24 12:00:00,1,Cerah Berawan,80,30.0,86.0,95,34,10.0,1007,2023-11-24 12:00:00
Lamongan_2023-11-24T18:00:00,Lamongan,2023-11-24 18:00:00,3,Berawan,85,25.0,77.0,62,30,8.8,1006,2023-11-24 18:00:00
Langsa_2023-11-24T00:00:00,Langsa,2023-11-24 00:00:00,3,Berawan,90,24.0,75.0,27,312,3.6,1010,2023-11-24
Langsa_2023-11-24T06:00:00,Langsa,2023-11-24 06:00:00,60,Hujan Ringan,70,31.0,88.0,26,312,1.8,1008,2023-11-24 06:00:00
Langsa_2023-11-24T12:00:00,Langsa,2023-11-24 12:00:00,3,Berawan,85,26.0,79.0,24,238,2.4,1012,2023-11-24 12:00:00
Langsa_2023-11-24T18:00:00,Langsa,2023-11-24 18:00:00,60,Hujan Ringan,95,24.0,75.0,32,238,0.8,1008,2023-11-24 18:00:00
Lhokseumawe_2023-11-24T00:00:00,Lhokseumawe,2023-11-24 00:00:00,60,Hujan Ringan,90,24.0,75.0,37,199,2.4,1010,2023-11-24
Lhokseumawe_2023-11-24T06:00:00,Lhokseumawe,2023-11-24 06:00:00,95,Hujan Petir,70,31.0,88.0,35,199,0.7,1008,2023-11-24 06:00:00
Lhokseumawe_2023-11-24T12:00:00,Lhokseumawe,2023-11-24 12:00:00,3,Berawan,85,26.0,79.0,33,109,11.4,1011,2023-11-24 12:00:00
Lhokseumawe_2023-11-24T18:00:00,Lhokseumawe,2023-11-24 18:00:00,1,Cerah Berawan,95,24.0,75.0,38,102,1.8,1008,2023-11-24 18:00:00
Madiun_2023-11-24T00:00:00,Madiun,2023-11-24 00:00:00,0,,75,29.0,84.0,62,173,4.9,1008,2023-11-24
Madiun_2023-11-24T06:00:00,Madiun,2023-11-24 06:00:00,0,,40,36.0,97.0,64,173,6.6,1008,2023-11-24 06:00:00
Madiun_2023-11-24T12:00:00,Madiun,2023-11-24 12:00:00,1,Cerah Berawan,80,28.0,82.0,48,44,4.0,1007,2023-11-24 12:00:00
Madiun_2023-11-24T18:00:00,Madiun,2023-11-24 18:00:00,1,Cerah Berawan,95,25.0,77.0,69,340,10.7,1007,2023-11-24 18:00:00
Magelang_2023-11-24T00:00:00,Magelang,2023-11-24 00:00:00,3,Berawan,80,26.0,79.0,68,172,3.8,1010,2023-11-24
Magelang_2023-11-24T06:00:00,Magelang,2023-11-24 06:00:00,61,Hujan Sedang,70,30.0,86.0,70,172,2.4,1010,2023-11-24 06:00:00
Magelang_2023-11-24T12:00:00,Magelang,2023-11-24 12:00:00,60,Hujan Ringan,75,27.0,81.0,55,169,7.3,1010,2023-11-24 12:00:00
Magelang_2023-11-24T18:00:00,Magelang,2023-11-24 18:00:00,4,Berawan Tebal,85,25.0,77.0,74,173,6.6,1009,2023-11-24 18:00:00
Magetan_2023-11-24T00:00:00,Magetan,2023-11-24 00:00:00,0,,75,28.0,82.0,60,151,1.6,1009,2023-11-24
Magetan_2023-11-24T06:00:00,Magetan,2023-11-24 06:00:00,0,,45,36.0,97.0,64,151,3.4,1009,2023-11-24 06:00:00
Magetan_2023-11-24T12:00:00,Magetan,2023-11-24 12:00:00,1,Cerah Berawan,85,25.0,77.0,48,10,4.4,1008,2023-11-24 12:00:00
Magetan_2023-11-24T18:00:00,Magetan,2023-11-24 18:00:00,1,Cerah Berawan,95,24.0,75.0,66,22,5.8,1007,2023-11-24 18:00:00
Majalengka_2023-11-24T00:00:00,Majalengka,2023-11-24 00:00:00,3,Berawan,90,25.0,77.0,70,106,4.3,1009,2023-11-24
Majalengka_2023-11-24T06:00:00,Majalengka,2023-11-24 06:00:00,61,Hujan Sedang,70,34.0,93.0,62,106,7.3,1008,2023-11-24 06:00:00
Majalengka_2023-11-24T12:00:00,Majalengka,2023-11-24 12:00:00,3,Berawan,95,23.0,73.0,57,183,3.2,1008,2023-11-24 12:00:00
Majalengka_2023-11-24T18:00:00,Majalengka,2023-11-24 18:00:00,3,Berawan,95,23.0,73.0,64,94,4.8,1007,2023-11-24 18:00:00
Majene_2023-11-24T00:00:00,Majene,2023-11-24 00:00:00,60,Hujan Ringan,85,26.0,79.0,31,283,6.3,1007,2023-11-24
Majene_2023-11-24T06:00:00,Majene,2023-11-24 06:00:00,3,Berawan,70,30.0,86.0,42,283,6.4,1008,2023-11-24 06:00:00
Majene_2023-11-24T12:00:00,Majene,2023-11-24 12:00:00,3,Berawan,80,28.0,82.0,43,261,8.1,1008,2023-11-24 12:00:00
Majene_2023-11-24T18:00:00,Majene,2023-11-24 18:00:00,60,Hujan Ringan,90,22.0,72.0,38,263,7.5,1007,2023-11-24 18:00:00
Malinau_2023-11-24T00:00:00,Malinau,2023-11-24 00:00:00,1,Cerah Berawan,90,24.0,75.0,45,104,2.4,1009,2023-11-24
Malinau_2023-11-24T06:00:00,Malinau,2023-11-24 06:00:00,60,Hujan Ringan,65,31.0,88.0,36,104,3.1,1009,2023-11-24 06:00:00
Malinau_2023-11-24T12:00:00,Malinau,2023-11-24 12:00:00,60,Hujan Ringan,90,24.0,75.0,44,68,2.7,1008,2023-11-24 12:00:00
Malinau_2023-11-24T18:00:00,Malinau,2023-11-24 18:00:00,60,Hujan Ringan,90,23.0,73.0,44,78,3.2,1008,2023-11-24 18:00:00
Mamasa_2023-11-24T00:00:00,Mamasa,2023-11-24 00:00:00,60,Hujan Ringan,95,19.0,66.0,29,51,3.1,1011,2023-11-24
Mamasa_2023-11-24T06:00:00,Mamasa,2023-11-24 06:00:00,61,Hujan Sedang,90,19.0,66.0,36,51,2.5,1012,2023-11-24 06:00:00
Mamasa_2023-11-24T12:00:00,Mamasa,2023-11-24 12:00:00,60,Hujan Ringan,95,19.0,66.0,38,63,2.1,1010,2023-11-24 12:00:00
Mamasa_2023-11-24T18:00:00,Mamasa,2023-11-24 18:00:00,60,Hujan Ringan,95,18.0,64.0,29,165,1.5,1011,2023-11-24 18:00:00
